data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-04-20,202517,21588.5,10378,,4993,1.0,176.9523,0,4,355030820251720207,2025-04-29,,1.1508373,1.220018E+7,15.900975,96.742225,0,1,2,87.61455,71.48415,18.1087,21.139225,1629,,,,,1596263
2025-04-13,202516,18761.5,15233,,12599,0.9867959,153.78052,0,4,355030820251620207,2025-04-29,,1.0233227,1.220018E+7,17.5529571428571,97.9935428571429,0,1,2,87.5175714285714,69.4687428571429,20.1061285714286,23.9533714285714,3943,,,,,1596263
2025-04-06,202515,18792.0,17347,,15973,1.0,154.03052,0,4,355030820251520207,2025-04-29,,1.0604511,1.220018E+7,16.2822714285714,95.6212428571429,0,1,2,84.7011285714286,67.5901571428571,19.0208142857143,22.7588285714286,4553,,,,,1596263
2025-03-30,202514,18633.5,17883,,17074,1.0,152.73135,0,4,355030820251420207,2025-04-29,,1.1148119,1.220018E+7,18.7978428571429,97.0881285714286,1,1,2,87.2922857142857,69.3881142857143,21.4425571428571,24.9558857142857,5223,,,,,1596263
2025-03-23,202513,17970.0,17513,,17100,1.0,147.29291,0,4,355030820251320207,2025-04-29,,1.1669327,1.220018E+7,18.5278285714286,98.4427285714286,1,1,2,86.8899142857143,67.6998428571429,21.5942428571429,25.6350857142857,5139,,,,,1596263
2025-03-16,202512,17067.0,16818,,16584,1.0,139.89137,0,4,355030820251220207,2025-04-29,,1.2020998,1.220018E+7,17.7097142857143,97.7978571428571,0,1,2,87.7940142857143,70.8411285714286,20.3358285714286,23.8874571428571,4894,,,,,1596263
2025-03-09,202511,15480.0,15335,,15224,1.0,126.88338,0,4,355030820251120207,2025-04-29,,1.1539761,1.220018E+7,19.7426285714286,98.1256714285714,1,1,2,85.8854428571429,64.4263285714286,22.4739428571429,26.5984714285714,4165,,,,,1596263
2025-03-02,202510,13784.0,13701,,13646,1.0,112.98194,0,4,355030820251020207,2025-04-29,,1.1005164,1.220018E+7,19.0180142857143,95.8084857142857,1,1,2,80.0648142857143,55.3735857142857,22.9250285714286,27.5685857142857,3378,,,,,1596263
2025-02-23,202509,13485.0,13439,,13419,1.0,110.53116,0,4,355030820250920207,2025-04-29,,1.2439829,1.220018E+7,19.9975857142857,98.4247571428571,1,1,2,82.3729714285714,57.0960285714286,23.7042285714286,28.1089285714286,2432,,,,,1596263
2025-02-16,202508,13282.0,13263,,13260,1.0,108.86725,0,4,355030820250820207,2025-04-29,,1.5334884,1.220018E+7,21.1382,94.9982571428571,1,1,2,81.2999571428571,64.2289714285714,24.3878714285714,28.4929,1989,,,,,1596263
2025-02-09,202507,11343.0,11343,,11343,1.0,92.97404,0,4,355030820250720207,2025-04-29,,1.6604965,1.220018E+7,19.7836428571429,96.3916428571429,1,1,2,80.9496714285714,58.6946,23.4858428571429,27.7953571428571,1606,,,,,1596263
2025-02-02,202506,8232.0,8232,8232.0,8232,1.0,67.47441,0,4,355030820250620207,2025-04-29,,1.4928111,1.220018E+7,19.9869,94.7312571428571,1,1,2,82.7849714285714,67.1579857142857,23.0364,26.5461142857143,1207,,,,,1596263
2025-01-26,202505,6591.0,6591,6591.0,6591,1.0,54.023792,0,4,355030820250520207,2025-04-29,,1.4685256,1.220018E+7,20.1319285714286,97.3112142857143,1,1,2,89.5419285714286,76.4665857142857,21.9659714285714,24.7312857142857,1041,,,,,1596263
2025-01-19,202504,5578.0,5578,5578.0,5578,1.0,45.72064,0,4,355030820250420207,2025-04-29,,1.5237211,1.220018E+7,21.0185142857143,93.3878,1,1,2,79.2042714285714,61.0183,24.5609428571429,28.6454714285714,867,,,,,1596263
2025-01-12,202503,4270.0,4270,4270.0,4270,1.0,34.999485,0,4,355030820250320207,2025-04-29,,1.4792134,1.220018E+7,17.9711714285714,96.0442714285714,0,1,2,84.5219,68.3923428571429,20.7257,24.3982285714286,690,,,,,1596263
2025-01-05,202502,3765.0,3765,3765.0,3765,1.0,30.8602,0,4,355030820250220207,2025-04-29,,1.6560215,1.220018E+7,18.0260428571429,97.4104571428571,1,1,2,87.053,70.8982285714286,20.5592142857143,24.3527571428571,746,,,,,1596263
2024-12-29,202501,2957.0,2957,2957.0,2957,1.0,24.237347,0,4,355030820250120207,2025-04-29,,1.4189069,1.220018E+7,18.9209,95.8770142857143,1,1,2,85.3183285714286,70.1748428571429,21.9553,25.7866714285714,584,,,,,1596263
2024-12-22,202452,1846.0,1846,1846.0,1846,1.2773324e-06,15.130924,0,4,355030820245220207,2025-04-29,,0.8614462,1.220018E+7,19.4051,97.3895714285714,1,0,2,89.5051714285714,77.8185714285714,21.3575714285714,23.8697857142857,304,,,,,1596263
2024-12-15,202451,2008.0,2008,2008.0,2008,0.008652987,16.458773,0,4,355030820245120207,2025-04-29,,0.9289158,1.220018E+7,18.4594285714286,94.6712857142857,1,0,2,80.1080428571429,58.7671857142857,21.7038142857143,26.0668285714286,268,,,,,1596263
2024-12-08,202450,2267.0,2267,2267.0,2267,0.9759626,18.581694,0,4,355030820245020207,2025-04-29,,1.0613993,1.220018E+7,18.4293571428571,97.5408428571429,1,1,2,87.1589714285714,71.8459,20.8281428571429,24.0049142857143,322,,,,,1596263
2024-12-01,202449,2197.0,2197,2197.0,2197,0.8580716,18.00793,0,4,355030820244920207,2025-04-29,,1.0331334,1.220018E+7,19.3592714285714,95.5157142857143,1,0,2,83.4740285714286,67.4892285714286,22.2500571428571,25.9495571428571,310,,,,,1596263
2024-11-24,202448,2059.0,2059,2059.0,2059,0.19379038,16.8768,0,4,355030820244820207,2025-04-29,,0.97360843,1.220018E+7,17.9135571428571,93.5195857142857,0,0,2,77.0310142857143,55.0478285714286,21.8794571428571,26.7455142857143,239,,,,,1596263
2024-11-17,202447,2236.0,2236,2236.0,2236,0.9166806,18.327599,0,4,355030820244720207,2025-04-29,,1.0426807,1.220018E+7,17.36,98.1584714285714,0,0,2,85.9900857142857,66.9887142857143,20.5269,24.5306428571429,258,,,,,1596263
2024-11-10,202446,2028.0,2028,2028.0,2028,0.0025925993,16.622705,0,4,355030820244620207,2025-04-29,,0.9176777,1.220018E+7,15.7281285714286,95.2521285714286,0,0,2,83.4762857142857,67.1612142857143,18.9363857142857,23.1816,284,,,,,1596263
2024-11-03,202445,2164.0,2164,2164.0,2164,0.029191755,17.737444,0,4,355030820244520207,2025-04-29,,0.9448516,1.220018E+7,18.8575428571429,97.4755571428571,1,0,2,89.5290285714286,79.0765714285714,20.6609714285714,23.0928428571429,258,,,,,1596263
2024-10-27,202444,2213.0,2213,2213.0,2213,0.009203052,18.139076,0,4,355030820244420207,2025-04-29,,0.9327313,1.220018E+7,16.1892,96.2369428571429,0,0,2,85.6001,67.2533285714286,18.9976428571429,23.1403285714286,266,,,,,1596263
2024-10-20,202443,2281.0,2281,2281.0,2281,0.0013513875,18.696445,0,4,355030820244320207,2025-04-29,,0.916763,1.220018E+7,18.693,94.8040857142857,1,0,2,84.1946428571429,68.6603571428572,21.6773857142857,25.5864142857143,282,,,,,1596263
2024-10-13,202442,2429.0,2429,2429.0,2429,1.9916073e-05,19.909542,0,4,355030820244220207,2025-04-29,,0.89176464,1.220018E+7,16.0614857142857,96.5111285714286,0,0,2,85.5132428571429,67.5561142857143,19.2589142857143,23.6082714285714,304,,,,,1596263
2024-10-06,202441,2371.0,2371,2371.0,2371,0.0,19.43414,0,4,355030820244120207,2025-04-29,,0.7895852,1.220018E+7,16.2011571428571,95.891,0,0,2,82.606,60.7564571428571,19.8005428571429,25.1224285714286,286,,,,,1596263
2024-09-29,202440,2665.0,2665,2665.0,2665,1.0462742e-12,21.84394,0,4,355030820244020207,2025-04-29,,0.8320428,1.220018E+7,16.4618857142857,92.9337,0,0,2,75.6368428571429,53.5323142857143,20.4042857142857,26.1151142857143,319,,,,,1596263
2024-09-22,202439,3189.0,3189,3189.0,3189,0.033675984,26.138958,0,4,355030820243920207,2025-04-29,,0.9557174,1.220018E+7,17.4451285714286,94.8061857142857,0,0,2,76.4841571428571,49.5876428571429,22.2024571428571,27.7765285714286,375,,,,,1596263
2024-09-15,202438,3116.0,3116,3116.0,3116,0.003984405,25.540607,0,4,355030820243820207,2025-04-29,,0.93602175,1.220018E+7,15.3938142857143,96.3387714285714,0,0,2,85.4188857142857,67.8887857142857,18.4101857142857,22.3166142857143,436,,,,,1596263
2024-09-08,202437,3480.0,3480,3480.0,3480,0.9964849,28.52417,0,4,355030820243720207,2025-04-29,,1.0678884,1.220018E+7,17.9883571428571,74.5202,0,1,2,51.9439,27.0077571428571,24.2559857142857,31.1107428571429,492,,,,,1596263
2024-09-01,202436,3492.0,3492,3492.0,3492,0.97406924,28.622528,0,4,355030820243620207,2025-04-29,,1.0482042,1.220018E+7,15.351,92.9676142857143,0,1,2,73.7476714285714,47.2364714285714,20.0367857142857,26.4482571428571,493,,,,,1596263
